Benchmark,Hits-dl1-0,Hits-dl1-1,Hits-dl1-2,Hits-dl1-3,Hits-il1-0,Hits-il1-1,Hits-il1-2,Hits-il1-3,Hits-l2-0,Hits-l2-1,Hits-l2-2,Hits-l2-3,Hits-mod-mm-0,Hits-l3-0,Hits-data-dl1-0,Hits-data-dl1-1,Hits-data-dl1-2,Hits-data-dl1-3,Hits-data-il1-0,Hits-data-il1-1,Hits-data-il1-2,Hits-data-il1-3,Hits-data-l2-0,Hits-data-l2-1,Hits-data-l2-2,Hits-data-l2-3,Hits-data-mod-mm-0,Hits-data-l3-0,Hits-instructions-dl1-0,Hits-instructions-dl1-1,Hits-instructions-dl1-2,Hits-instructions-dl1-3,Hits-instructions-il1-0,Hits-instructions-il1-1,Hits-instructions-il1-2,Hits-instructions-il1-3,Hits-instructions-l2-0,Hits-instructions-l2-1,Hits-instructions-l2-2,Hits-instructions-l2-3,Hits-instructions-mod-mm-0,Hits-instructions-l3-0,Misses-dl1-0,Misses-dl1-1,Misses-dl1-2,Misses-dl1-3,Misses-il1-0,Misses-il1-1,Misses-il1-2,Misses-il1-3,Misses-l2-0,Misses-l2-1,Misses-l2-2,Misses-l2-3,Misses-mod-mm-0,Misses-l3-0,Misses-data-dl1-0,Misses-data-dl1-1,Misses-data-dl1-2,Misses-data-dl1-3,Misses-data-il1-0,Misses-data-il1-1,Misses-data-il1-2,Misses-data-il1-3,Misses-data-l2-0,Misses-data-l2-1,Misses-data-l2-2,Misses-data-l2-3,Misses-data-mod-mm-0,Misses-data-l3-0,Misses-instructions-dl1-0,Misses-instructions-dl1-1,Misses-instructions-dl1-2,Misses-instructions-dl1-3,Misses-instructions-il1-0,Misses-instructions-il1-1,Misses-instructions-il1-2,Misses-instructions-il1-3,Misses-instructions-l2-0,Misses-instructions-l2-1,Misses-instructions-l2-2,Misses-instructions-l2-3,Misses-instructions-mod-mm-0,Misses-instructions-l3-0,Accesses-dl1-0,Accesses-dl1-1,Accesses-dl1-2,Accesses-dl1-3,Accesses-il1-0,Accesses-il1-1,Accesses-il1-2,Accesses-il1-3,Accesses-l2-0,Accesses-l2-1,Accesses-l2-2,Accesses-l2-3,Accesses-mod-mm-0,Accesses-l3-0,Invalids-dl1-0,Invalids-dl1-1,Invalids-dl1-2,Invalids-dl1-3,Invalids-il1-0,Invalids-il1-1,Invalids-il1-2,Invalids-il1-3,Invalids-l2-0,Invalids-l2-1,Invalids-l2-2,Invalids-l2-3,Invalids-mod-mm-0,Invalids-l3-0,Up-down-dl1-0,Up-down-dl1-1,Up-down-dl1-2,Up-down-dl1-3,Up-down-il1-0,Up-down-il1-1,Up-down-il1-2,Up-down-il1-3,Up-down-l2-0,Up-down-l2-1,Up-down-l2-2,Up-down-l2-3,Up-down-mod-mm-0,Up-down-l3-0,Down-up-dl1-0,Down-up-dl1-1,Down-up-dl1-2,Down-up-dl1-3,Down-up-il1-0,Down-up-il1-1,Down-up-il1-2,Down-up-il1-3,Down-up-l2-0,Down-up-l2-1,Down-up-l2-2,Down-up-l2-3,Down-up-mod-mm-0,Down-up-l3-0,Ciclos pen ROB propios,Ciclos de ejecucion,Unnamed: 142
mcf,152471460,0,0,0,472031115,0,0,0,11036812,0,0,0,0,9355674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31455869,0,0,0,340098,0,0,0,20690113,0,0,0,0,11334393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183927329,0,0,0,472371213,0,0,0,31726925,0,0,0,0,20690067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193150053,0,0,0,495041840,0,0,0,33272502,0,0,0,0,21658093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824832971,2290139506,
povray,183849682,0,0,0,162156116,0,0,0,1920323,0,0,0,0,5325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925532,0,0,0,3571,0,0,0,8775,0,0,0,0,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185775214,0,0,0,162159687,0,0,0,1929098,0,0,0,0,8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211249469,0,0,0,184237392,0,0,0,2157695,0,0,0,0,10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36392951,376073677,
libquantum,104355816,0,0,0,7618467,0,0,0,907,0,0,0,0,196483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081500,0,0,0,7239,0,0,0,4087666,0,0,0,0,3891181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108437316,0,0,0,7625706,0,0,0,4088573,0,0,0,0,4087664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149710145,0,0,0,7846347,0,0,0,5494980,0,0,0,0,5489320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256051546,1115365316,
gamess,172341510,0,0,0,87665224,0,0,0,1698,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,1680,0,0,0,181,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172341709,0,0,0,87666904,0,0,0,1879,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217505944,0,0,0,110791053,0,0,0,3519,0,0,0,0,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10501941,266811691,
lbm,112954849,0,0,0,30750298,0,0,0,2631795,0,0,0,0,6283493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21047635,0,0,0,332040,0,0,0,18742497,0,0,0,0,12459002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134002484,0,0,0,31082338,0,0,0,21374292,0,0,0,0,18742495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186041862,0,0,0,43173389,0,0,0,29254609,0,0,0,0,25636596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194031659,3578653644,
dealII,177705256,0,0,0,88548362,0,0,0,1588365,0,0,0,0,1692541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3283313,0,0,0,54430,0,0,0,1746803,0,0,0,0,54262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180988569,0,0,0,88602792,0,0,0,3335168,0,0,0,0,1746803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212060089,0,0,0,99677574,0,0,0,4123261,0,0,0,0,1977954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74907387,359719325,
cactusADM,200163917,0,0,0,53757854,0,0,0,4671798,0,0,0,0,510619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7962194,0,0,0,208002,0,0,0,3496453,0,0,0,0,2985777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208126111,0,0,0,53965856,0,0,0,8168251,0,0,0,0,3496396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214618585,0,0,0,59466811,0,0,0,10357214,0,0,0,0,5684984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997354410,844429295,
sphinx3,184879851,0,0,0,158218491,0,0,0,123410,0,0,0,0,13140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157724,0,0,0,8629,0,0,0,42879,0,0,0,0,29739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185037575,0,0,0,158227120,0,0,0,166289,0,0,0,0,42879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208230477,0,0,0,178099395,0,0,0,189724,0,0,0,0,49164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9121266,341760711,
gobmk,198692910,0,0,0,215840007,0,0,0,1259078,0,0,0,0,1220810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1919463,0,0,0,646507,0,0,0,1303497,0,0,0,0,82687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200612373,0,0,0,216486514,0,0,0,2562575,0,0,0,0,1303497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220684412,0,0,0,237483345,0,0,0,3027607,0,0,0,0,1600032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66459136,482858427,
bwaves,169194938,0,0,0,93399931,0,0,0,22160186,0,0,0,0,1089138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30188260,0,0,0,159609,0,0,0,8183897,0,0,0,0,7094465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199383198,0,0,0,93559540,0,0,0,30344083,0,0,0,0,8183603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260752864,0,0,0,109777545,0,0,0,32310352,0,0,0,0,10145132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387472848,2288540871,
