Benchmark,Hits-dl1-0,Hits-dl1-1,Hits-dl1-2,Hits-dl1-3,Hits-il1-0,Hits-il1-1,Hits-il1-2,Hits-il1-3,Hits-l2-0,Hits-l2-1,Hits-l2-2,Hits-l2-3,Hits-mod-mm-0,Hits-l3-0,Hits-data-dl1-0,Hits-data-dl1-1,Hits-data-dl1-2,Hits-data-dl1-3,Hits-data-il1-0,Hits-data-il1-1,Hits-data-il1-2,Hits-data-il1-3,Hits-data-l2-0,Hits-data-l2-1,Hits-data-l2-2,Hits-data-l2-3,Hits-data-mod-mm-0,Hits-data-l3-0,Hits-instructions-dl1-0,Hits-instructions-dl1-1,Hits-instructions-dl1-2,Hits-instructions-dl1-3,Hits-instructions-il1-0,Hits-instructions-il1-1,Hits-instructions-il1-2,Hits-instructions-il1-3,Hits-instructions-l2-0,Hits-instructions-l2-1,Hits-instructions-l2-2,Hits-instructions-l2-3,Hits-instructions-mod-mm-0,Hits-instructions-l3-0,Misses-dl1-0,Misses-dl1-1,Misses-dl1-2,Misses-dl1-3,Misses-il1-0,Misses-il1-1,Misses-il1-2,Misses-il1-3,Misses-l2-0,Misses-l2-1,Misses-l2-2,Misses-l2-3,Misses-mod-mm-0,Misses-l3-0,Misses-data-dl1-0,Misses-data-dl1-1,Misses-data-dl1-2,Misses-data-dl1-3,Misses-data-il1-0,Misses-data-il1-1,Misses-data-il1-2,Misses-data-il1-3,Misses-data-l2-0,Misses-data-l2-1,Misses-data-l2-2,Misses-data-l2-3,Misses-data-mod-mm-0,Misses-data-l3-0,Misses-instructions-dl1-0,Misses-instructions-dl1-1,Misses-instructions-dl1-2,Misses-instructions-dl1-3,Misses-instructions-il1-0,Misses-instructions-il1-1,Misses-instructions-il1-2,Misses-instructions-il1-3,Misses-instructions-l2-0,Misses-instructions-l2-1,Misses-instructions-l2-2,Misses-instructions-l2-3,Misses-instructions-mod-mm-0,Misses-instructions-l3-0,Accesses-dl1-0,Accesses-dl1-1,Accesses-dl1-2,Accesses-dl1-3,Accesses-il1-0,Accesses-il1-1,Accesses-il1-2,Accesses-il1-3,Accesses-l2-0,Accesses-l2-1,Accesses-l2-2,Accesses-l2-3,Accesses-mod-mm-0,Accesses-l3-0,Invalids-dl1-0,Invalids-dl1-1,Invalids-dl1-2,Invalids-dl1-3,Invalids-il1-0,Invalids-il1-1,Invalids-il1-2,Invalids-il1-3,Invalids-l2-0,Invalids-l2-1,Invalids-l2-2,Invalids-l2-3,Invalids-mod-mm-0,Invalids-l3-0,Up-down-dl1-0,Up-down-dl1-1,Up-down-dl1-2,Up-down-dl1-3,Up-down-il1-0,Up-down-il1-1,Up-down-il1-2,Up-down-il1-3,Up-down-l2-0,Up-down-l2-1,Up-down-l2-2,Up-down-l2-3,Up-down-mod-mm-0,Up-down-l3-0,Down-up-dl1-0,Down-up-dl1-1,Down-up-dl1-2,Down-up-dl1-3,Down-up-il1-0,Down-up-il1-1,Down-up-il1-2,Down-up-il1-3,Down-up-l2-0,Down-up-l2-1,Down-up-l2-2,Down-up-l2-3,Down-up-mod-mm-0,Down-up-l3-0,Ciclos pen ROB propios,Ciclos de ejecucion,Unnamed: 142
mcf,152448011,0,0,0,472490880,0,0,0,11050705,0,0,0,0,9344542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31465460,0,0,0,333668,0,0,0,20684119,0,0,0,0,11339526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183913471,0,0,0,472824548,0,0,0,31734824,0,0,0,0,20684068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193112231,0,0,0,495559955,0,0,0,33279039,0,0,0,0,21652640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825960852,2291354063,
povray,184322953,0,0,0,164205851,0,0,0,1832260,0,0,0,0,52296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844594,0,0,0,43452,0,0,0,55756,0,0,0,0,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186167547,0,0,0,164249303,0,0,0,1888016,0,0,0,0,55756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211453263,0,0,0,186402048,0,0,0,2107316,0,0,0,0,58029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35198463,377013987,
libquantum,104354437,0,0,0,7618620,0,0,0,1289,0,0,0,0,196282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4081487,0,0,0,7273,0,0,0,4087299,0,0,0,0,3891016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108435924,0,0,0,7625893,0,0,0,4088588,0,0,0,0,4087298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149702148,0,0,0,7846039,0,0,0,5495556,0,0,0,0,5488457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255495032,1114753355,
gamess,172387175,0,0,0,87644797,0,0,0,136,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,132,0,0,0,171,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172387350,0,0,0,87644929,0,0,0,307,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217547408,0,0,0,110770015,0,0,0,1534,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10558491,266819641,
lbm,112954853,0,0,0,30750296,0,0,0,2631795,0,0,0,0,6283494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21047636,0,0,0,332040,0,0,0,18742499,0,0,0,0,12459003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134002489,0,0,0,31082336,0,0,0,21374294,0,0,0,0,18742497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186042067,0,0,0,43173386,0,0,0,29254609,0,0,0,0,25636596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194030026,3578654131,
dealII,177700654,0,0,0,88525495,0,0,0,1591370,0,0,0,0,1692783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3287856,0,0,0,52773,0,0,0,1746737,0,0,0,0,53954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180988510,0,0,0,88578268,0,0,0,3338107,0,0,0,0,1746737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212131782,0,0,0,99647664,0,0,0,4117942,0,0,0,0,1977571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74801861,359710548,
cactusADM,200116947,0,0,0,53776911,0,0,0,4688246,0,0,0,0,488016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7970629,0,0,0,194173,0,0,0,3474529,0,0,0,0,2986472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208087576,0,0,0,53971084,0,0,0,8162775,0,0,0,0,3474488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214580344,0,0,0,59470582,0,0,0,10351887,0,0,0,0,5663218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997113917,844212963,
sphinx3,184838086,0,0,0,158203010,0,0,0,123087,0,0,0,0,13367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157698,0,0,0,8531,0,0,0,43106,0,0,0,0,29739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184995784,0,0,0,158211541,0,0,0,166193,0,0,0,0,43106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208190390,0,0,0,178083697,0,0,0,189625,0,0,0,0,49412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9111698,341713488,
gobmk,198630644,0,0,0,215077404,0,0,0,1149675,0,0,0,0,1283843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865314,0,0,0,655143,0,0,0,1366457,0,0,0,0,82614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200495958,0,0,0,215732547,0,0,0,2516132,0,0,0,0,1366457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220683872,0,0,0,236737724,0,0,0,2973120,0,0,0,0,1666851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65932576,483256527,
bwaves,168545479,0,0,0,93420933,0,0,0,22345320,0,0,0,0,1062710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30353177,0,0,0,152591,0,0,0,8157398,0,0,0,0,7094446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198898656,0,0,0,93573524,0,0,0,30502718,0,0,0,0,8157156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260269431,0,0,0,109791626,0,0,0,32469062,0,0,0,0,10118718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2396884975,2297868300,
wrf,85258198,0,0,0,64815716,0,0,0,69917,0,0,0,0,182658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2946108,0,0,0,34108,0,0,0,2909382,0,0,0,0,2726723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88204306,0,0,0,64849824,0,0,0,2979299,0,0,0,0,2909381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90742384,0,0,0,72503720,0,0,0,3970267,0,0,0,0,3899837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826268248,844280471,
tonto,206606854,0,0,0,130975150,0,0,0,1280116,0,0,0,0,470800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1628006,0,0,0,140780,0,0,0,486501,0,0,0,0,15701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208234860,0,0,0,131115930,0,0,0,1766617,0,0,0,0,486501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239613331,0,0,0,151746845,0,0,0,1916284,0,0,0,0,504264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50066123,365143275,
GemsFDTD,149693379,0,0,0,93485096,0,0,0,77617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149770996,0,0,0,93485096,0,0,0,77617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184668132,0,0,0,115266225,0,0,0,96823,0,0,0,0,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3404335,287235605,
namd,213170867,0,0,0,210003851,0,0,0,61551,0,0,0,0,48344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170374,0,0,0,22470,0,0,0,131213,0,0,0,0,82869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213341241,0,0,0,210026321,0,0,0,192764,0,0,0,0,131213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240251339,0,0,0,235925682,0,0,0,216475,0,0,0,0,147638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3641842,364244951,
sjeng,226130235,0,0,0,228753850,0,0,0,749175,0,0,0,0,241281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049746,0,0,0,123100,0,0,0,421676,0,0,0,0,180395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227179981,0,0,0,228876950,0,0,0,1170851,0,0,0,0,421676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246769206,0,0,0,248672796,0,0,0,1278256,0,0,0,0,462493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48782958,482652174,
gcc,184127449,0,0,0,290835944,0,0,0,964387,0,0,0,0,12449437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14426035,0,0,0,2379092,0,0,0,15820959,0,0,0,0,3371492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198553484,0,0,0,293215036,0,0,0,16785346,0,0,0,0,15820929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215770544,0,0,0,316316516,0,0,0,17815629,0,0,0,0,16603601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567258996,1960489974,
bzip2,245404237,0,0,0,210689115,0,0,0,2856868,0,0,0,0,5019725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7980633,0,0,0,72322,0,0,0,5185257,0,0,0,0,165532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253384870,0,0,0,210761437,0,0,0,8042125,0,0,0,0,5185257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279656446,0,0,0,235391664,0,0,0,8816614,0,0,0,0,5636559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215581704,766661608,
zeusmp,210825392,0,0,0,44170474,0,0,0,712363,0,0,0,0,764104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5196725,0,0,0,49076,0,0,0,4532117,0,0,0,0,3767884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216022117,0,0,0,44219550,0,0,0,5244480,0,0,0,0,4531988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277832315,0,0,0,58678595,0,0,0,8509836,0,0,0,0,7271849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074556455,1008530611,
calculix,168863274,0,0,0,43363807,0,0,0,956976,0,0,0,0,352703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402987,0,0,0,9280,0,0,0,454250,0,0,0,0,101547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170266261,0,0,0,43373087,0,0,0,1411226,0,0,0,0,454250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207610829,0,0,0,64770036,0,0,0,1447349,0,0,0,0,458855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92720905,369259580,
astar,374363373,0,0,0,541386076,0,0,0,6688289,0,0,0,0,3799036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10453011,0,0,0,108173,0,0,0,3807248,0,0,0,0,8212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384816384,0,0,0,541494249,0,0,0,10495537,0,0,0,0,3807248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402044906,0,0,0,566434651,0,0,0,11037818,0,0,0,0,3986968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98862955,859815546,
soplex,149110518,0,0,0,132858152,0,0,0,1561633,0,0,0,0,2861259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4455189,0,0,0,192843,0,0,0,3069964,0,0,0,0,208705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153565707,0,0,0,133050995,0,0,0,4631597,0,0,0,0,3069964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170351976,0,0,0,144114155,0,0,0,4716647,0,0,0,0,3127670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108954821,475932520,
omnetpp,98630807,0,0,0,97831064,0,0,0,44405,0,0,0,0,1666934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511233,0,0,0,256196,0,0,0,1722717,0,0,0,0,55783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100142040,0,0,0,98087260,0,0,0,1767122,0,0,0,0,1722717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116475014,0,0,0,114167668,0,0,0,2020816,0,0,0,0,1968444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84223803,322949126,
